Fiscal Year,Department Name,Fund Name,Unit Name,Expenditure Category,Object Name,Actual Expenses,Current Expense Budget
2022,Emergency Preparedness and Response,EOC-911,Eoc-911,Equipment,Equip-Signal & Radio,4413.1,3820
2022,Police,General Fund,Anti-Crime Division,"Materials, Supplies, and Repairs",Supplies-Electrical & Mech,4422.01,3000
2022,Finance Department,General Fund,Finance Director Office,Contractual Services,Employee Training Expense,4443.14,3045
2022,Water,Water Utility Fund,Division Of Engineering,"Materials, Supplies, and Repairs",Supplies-Clothing & Personal,4445.84,5000
2022,Norfolk Community Services Board,Community Services Board,Forensic Services Admin,Contractual Services,Telephone Chargeback I.S.,4450,4450
2022,Norfolk Community Services Board,Community Services Board,Homeless Center 1050 Tidewater Dr,Personnel Services,Semi-Monthly/Monthly Overtime,4492,0
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,"Materials, Supplies, and Repairs",Food,4504.72,9500
2022,General Services,General Fund,Facility and Enterprise Management,"Materials, Supplies, and Repairs",Computer Software-Under $1000,4515.86,1650
2022,Libraries,General Fund,Sargeant Memorial Collection (SMC),"Materials, Supplies, and Repairs",Supplies-Program,4519.11,26000
2022,Parking Facilities Fund,Parking Facilities,Operations,"Materials, Supplies, and Repairs",Chemicals,4528.19,9660
2022,Neighborhood Development,General Fund,Director's Office,"Materials, Supplies, and Repairs",Supplies-Office,4547.61,4019
2022,Police,General Fund,Office of Support Services,"Materials, Supplies, and Repairs",Supplies-Office,4561.64,6718
2022,Neighborhood Development,General Fund,Director's Office,Contractual Services,Other Contractual Services,4569.24,5033
2022,Norfolk Community Services Board,Community Services Board,Clinical Acute Services Administration,Personnel Services,Semi-Monthly/Monthly Overtime,4593.18,0
2022,Public Works,General Fund,Directors Office Public Works,Contractual Services,Rent Of Equipment,4595.28,5162
2022,Norfolk Community Services Board,Community Services Board,Child and Adolesent SVCS ADMIN,Personnel Services,Social Security Fica Tax,4600.95,4458
2022,Zoological Park,General Fund,Zoo,Contractual Services,Traveling Expense,4610.85,3000
2022,Neighborhood Development,General Fund,IMPACT Norfolk,Contractual Services,Promotional Activities,4619.06,0
2022,Fire-Rescue,General Fund,Corporate Communications,"Materials, Supplies, and Repairs",Supplies-Electrical & Mech,4621.36,9608
2022,Norfolk Community Services Board,Community Services Board,MH Case Management,Personnel Services,Retirement Expense (Vsrs Emp),4647.32,0
2022,Police,General Fund,Investigative Services,Personnel Services,Retirement Expense (Vsrs Emp),4657.84,0
2022,Fire-Rescue,General Fund,Prevention,Contractual Services,Service Charge Credit Cards,4659.81,2000
2022,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Small Tools,4666,7000
2022,Police,General Fund,Anti-Crime Division,Contractual Services,Investigative Services,4670.02,35720
2022,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Telephone Chargeback I.S.,4680,4680
2022,Water,Water Utility Fund,Division Of Account.& Budget,Contractual Services,Telephone Chargeback I.S.,4680,4680
2022,Police,Gen Fixed Assets Group Of Acct,Project Safe Neighborhoods,Contractual Services,Depr-System Account,4682.29,0
2022,General Services,General Fund,Animal Care Center,Contractual Services,Telephone,4690.81,4000
2022,Police,General Fund,Anti-Crime Division,Contractual Services,Employee Training Expense,4703,4500
2022,Norfolk Community Services Board,Community Services Board,Drug Court,Personnel Services,Social Security Fica Tax,4712.11,12273
2022,Planning and Community Development,General Fund,Division of Codes Administration,Personnel Services,Semi-Monthly/Monthly Overtime,4718.69,4000
2022,Planning and Community Development,General Fund,Planning,Contractual Services,Traveling Expense,4729.1,5451
2022,Transportation,General Fund,Right of Way,Personnel Services,Semi-Monthly/Monthly Overtime,4735.86,4736
2022,Transportation,General Fund,Transportation,Contractual Services,Water & Sewage Disposal,4753.34,1550
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,"Materials, Supplies, and Repairs",Repairs-Signal System,4780,65453
2022,Transportation,General Fund,Directors Office,Personnel Services,Group Life Insurance Perm,4786.74,5104
2022,Norfolk Community Services Board,Community Services Board,Infant Toddler Connection (ITCN),Personnel Services,Semi-Monthly/Monthly Overtime,4792.25,0
2022,Sheriff,Gen Fixed Assets Group Of Acct,Sheriff's Community Correction Program,Contractual Services,Depr-System Account,4816.06,0
2022,Transportation,General Fund,Transportation,Equipment,Technology Equipment,4830,10000
2022,City Attorney,General Fund,City Attorney,Contractual Services,Telephone,4830.62,1800
2022,The Department of Parks & Recreation (P&R),General Fund,Park and Forestry Operations,"Materials, Supplies, and Repairs",Supplies-Office,4835.13,5232
2022,Communications and Technology,General Fund,Radio and Electronics,"Materials, Supplies, and Repairs",Electricity,4842.65,3500
2022,Norfolk Community Services Board,Community Services Board,Homeless Center 1050 Tidewater Dr,"Materials, Supplies, and Repairs",Supplies-Program,4851.26,130422
2022,Zoological Park,General Fund,Zoo,Contractual Services,Telephone,4876.23,2300
2022,Norfolk Community Services Board,Community Services Board,Detention Center,Personnel Services,Social Security Fica Tax,4878.22,4854
2022,Water,Water Utility Fund,Division Of Engineering,"Materials, Supplies, and Repairs",Computer Software-Under $1000,4881.48,2000
2022,Int Service Fund-Auto Maint,Int Service Fund-Auto Maint,Int Servic Fund-Auto Maint,Equipment,Equip-Lease/Purchase,4885.4,2878
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,Equipment,Equip-Software-Over $1000,4895.13,5274
2022,Transportation,General Fund,Directors Office,Personnel Services,Retirement Expense (Vsrs Emp),4903.68,0
2022,Norfolk Community Services Board,Community Services Board,Child and Adolesent SVCS ADMIN,"Materials, Supplies, and Repairs",Electricity,4911.76,3593
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,Equipment,Equip-Office & Household,4912.61,10000
2022,The Department of Parks & Recreation (P&R),General Fund,Park and Forestry Operations,"Materials, Supplies, and Repairs",Gas-Natural & Propane,4932.4,7360
2022,Development,General Fund,Development Division,Contractual Services,Parking Validations,4934.5,7747
2022,The Department of Parks & Recreation (P&R),General Fund,Recreation Centers,"Materials, Supplies, and Repairs",Food,4942.05,8748
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs",Repairs-Portable Equipment,4946.11,6000
2022,Public Works,General Fund,Surveys,Personnel Services,Group Life Insurance Perm,4958.43,5683
2022,Finance Department,General Fund,Finance Director Office,Contractual Services,Membership Dues & Subscription,4962.5,2000
2022,Slover Library,General Fund,Slover Library,"Materials, Supplies, and Repairs",Supplies-Office,5001.31,5000
2022,Fire-Rescue,General Fund,Operations,"Materials, Supplies, and Repairs","Gasoline, Fuel & Lubricants",5005.34,5000
2022,Police,General Fund,First Patrol,"Materials, Supplies, and Repairs",Supplies-Office,5021.49,7733
2022,Police,General Fund,Special Enforcement Division,"Materials, Supplies, and Repairs",Electricity,5033.31,11100
2022,Transportation,General Fund,Transportation,"Materials, Supplies, and Repairs",Gas-Natural & Propane,5042.25,6800
2022,Neighborhood Development,General Fund,IMPACT Norfolk,Personnel Services,Retirement Expense (Vsrs Emp),5071.61,0
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,5078.09,2000
2022,Fire-Rescue,Gen Fixed Assets Group Of Acct,FIRE PROGRAMS,Contractual Services,Depr-System Account,5086.5,0
2022,Transportation,General Fund,Directors Office,Contractual Services,Rent Of Equipment,5086.56,4100
2022,Police,General Fund,Second Patrol,"Materials, Supplies, and Repairs",Supplies-Office,5091.45,8666
2022,Libraries,General Fund,Branch Operations,"Materials, Supplies, and Repairs",Supplies-Program,5100.37,16033.95
2022,Neighborhood Development,General Fund,Neighborhood Quality,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,5103.99,5600
2022,Norfolk Community Services Board,Community Services Board,Intake,Contractual Services,Other Contractual Services,5104.11,4712
2022,Police,General Fund,Technology Support Unit,"Materials, Supplies, and Repairs",Supplies-Office,5118.78,6502
2022,Norfolk Community Services Board,Community Services Board,Board Operations,Personnel Services,Temporary/Casual Employment,5119.62,23753
2022,Development,General Fund,Development Division,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,5120.02,7656
2022,Neighborhood Development,General Fund,Director's Office,Contractual Services,Membership Dues & Subscription,5123.25,1765
2022,Commonwealths Attorney,General Fund,Commonwealth Attorney,Equipment,Equip-Software-Over $1000,5136.55,14000
2022,Public Works,General Fund,Streets And Bridges,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,5188.37,1046
2022,Norfolk Community Services Board,Community Services Board,Integrated Care Clinic,Personnel Services,Semi-Monthly/Monthly Overtime,5221.23,0
2022,Water,Water Utility Fund,Division Of Account.& Budget,Personnel Services,Retirement Expense (Vsrs Emp),5232.45,0
2022,Norfolk Community Services Board,Community Services Board,Benefits Acquisition,Personnel Services,Social Security Fica Tax,5233.17,5406
2022,Norfolk Community Services Board,Community Services Board,Mobile Crisis Services,Personnel Services,Special Pay & Allowances,5233.55,0
2022,Emergency Preparedness and Response,EOC-911,Services-Civil Emergency,Personnel Services,Semi-Monthly/Monthly Overtime,5236.61,0
2022,City Real Estate Assessor,General Fund,City Real Estate Assessor,"Materials, Supplies, and Repairs",Supplies-Office,5236.86,3500
2022,Police,General Fund,First Patrol,"Materials, Supplies, and Repairs",Supplies-Police,5281.21,5474
2022,Human Services,General Fund,Social Services,Department Specific Appropriation,Reserved-Dept Operating Funds,5290.88,0
2022,Water,Water Utility Fund,Utility Director Office,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,5304.29,4668
2022,Police,General Fund,Training,"Materials, Supplies, and Repairs",Supplies-Office,5321.76,5658
2022,Human Services,General Fund,Ysb - Secure Detention,"Materials, Supplies, and Repairs",Supplies-Office,5351.39,10020
2022,The Department of Parks & Recreation (P&R),General Fund,Youth Development,Contractual Services,Other Contractual Services,5359.4,29410
2022,Water,Water Utility Fund,Division Of Engineering,Contractual Services,Employee Training Expense,5370.46,9900
2022,Norfolk Community Services Board,Community Services Board,Intake,Personnel Services,Group Life Insurance Perm,5371.39,5890
2022,Healthcare Fund,Int Service Fund-Healthcare,City-Administered Healthcare,Contractual Services,Advertising,5405.89,3500
2022,Finance Department,General Fund,City Controller,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,5407.83,5495
2022,Planning and Community Development,General Fund,Division of City Planning,Personnel Services,Group Life Insurance Perm,5415.2,2381
2022,Planning and Community Development,General Fund,Planning,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,5420,5421
2022,General Services,General Fund,Animal Care Center,Contractual Services,Service Charge Credit Cards,5434.34,2100
2022,Water,Water Utility Fund,Division Of Water Quality,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,5442.81,400
2022,Human Services,General Fund,Home Based Child Care LO,Personnel Services,Social Security Fica Tax,5454.67,25480
2022,Finance Department,General Fund,Purchasing Agent,Contractual Services,Employee Training Expense,5476.87,3500
2022,Water,Water Utility Fund,Divison Of Water Accounts,Personnel Services,Semi-Monthly/Monthly Overtime,5518.29,6871
2022,Norfolk Community Services Board,Community Services Board,Mental Health Court,Personnel Services,Retirement Expense (Vsrs Emp),5533.12,0
2022,Zoological Park,General Fund,Zoo,Contractual Services,Other Contractual Services,5534.49,21144
2022,Neighborhood Development,General Fund,Neighborhood Quality,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,5548.78,6952
2022,Norfolk Community Services Board,Community Services Board,Assertive Community Treatment,Contractual Services,Telephone Chargeback I.S.,5562,5562
2022,Norfolk Community Services Board,Community Services Board,Infant Toddler Connection (ITCN),Contractual Services,Telephone Chargeback I.S.,5562,5562
2022,Police,General Fund,Property-Evidence,"Materials, Supplies, and Repairs",Repairs-Office Equipment,5565.06,500
2022,Fire-Rescue,Gen Fixed Assets Group Of Acct,Aid to Localities,Contractual Services,Depr-System Account,5568.94,0
2022,Water,Water Utility Fund,Divison Of Water Accounts,Contractual Services,Telephone,5573.47,3100
2022,Water,Water Utility Fund,Division Of Account.& Budget,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,5593.15,400
